TIME,Volts,Watts,category
60133.9677734375,12.147808064516136,14.68446290322581,high
120264.99780273438,12.106034146341466,15.117688617886182,high
180396.02856445312,12.092937398373977,14.574093495934962,high
240529.04638671875,12.075160975609752,14.473413821138216,high
300661.0270996094,12.050182926829267,14.564695934959355,high
360794.9948730469,12.033204065040652,14.457518699186998,high
420928.0126953125,12.014110569105691,14.578927642276428,high
481059.9931640625,11.993276422764223,14.502634146341466,high
541194.0478515625,11.974699999999995,14.491608943089437,high
601326.9787597656,11.955755284552843,14.533204065040652,high
661459.0461425781,11.93779593495935,14.475335772357726,high
721593.0139160156,11.920952032520324,14.415208943089432,middle
781726.0317382812,11.903309756097563,14.371050406504061,middle
841859.0495605469,11.885456910569106,14.407703252032524,middle
901991.9807128906,11.865798373983742,14.327144715447158,middle
962124.998046875,11.849560162601627,14.424888617886173,middle
1022258.0158691406,11.830948780487809,14.430621951219512,high
1082389.9963378906,11.814082113821142,14.428823577235768,high
1142523.0144042969,11.798998373983737,14.340123577235776,middle
1202658.0192871094,11.781742276422762,14.311012195121956,middle
1262789.9997558594,11.764876422764226,14.282195121951219,middle
1322925.0048828125,11.747560975609758,14.302990243902435,middle
1383058.0222167969,11.729065040650411,14.311755284552849,middle
1443191.9904785156,11.713165853658536,14.362379674796749,middle
1503323.0205078125,11.696442276422763,14.283030894308942,middle
1563456.0383300781,11.678730081300822,14.3516837398374,middle
1623590.0061035156,11.661908130081297,14.387515447154472,middle
1683723.0239257812,11.644382926829266,14.395716260162601,middle
1743858.0283203125,11.628652032520327,14.320652032520325,middle
1803993.9838867188,11.610786991869919,14.400230081300812,middle
1864125.9643554688,11.594488617886183,14.338482113821128,middle
1924258.982421875,11.576569105691052,14.510511382113819,high
1984391.0495605469,11.559956097560974,14.442416260162599,high
2044525.0173339844,11.542578861788618,14.362452845528457,middle
2104658.03515625,11.525939837398372,14.382976422764228,middle
2164792.0029296875,11.511103252032521,14.355720325203254,middle
2224923.983642578,11.494986178861787,14.449638211382114,high
2285057.0014648438,11.476148780487806,14.482056910569105,high
2345190.0192871094,11.459862601626021,14.42393658536585,middle
2405322.0,11.446024390243899,14.3362081300813,middle
2465455.0170898438,11.428691869918696,14.447269918699188,high
2525588.985595703,11.413787804878044,14.313998373983743,middle
2585720.966064453,11.397694308943088,14.36490894308943,middle
2645853.9838867188,11.382996747967482,14.227686991869923,middle
2705987.001220703,11.368407317073176,14.201075609756096,middle
2766118.982421875,11.351343089430896,14.212361788617883,middle
2826253.0368652344,11.336043902439021,14.224795121951221,middle
2886387.004638672,11.321321138211381,14.169635772357724,middle
2946520.9724121094,11.305116260162599,14.134232520325206,low
3006655.977294922,11.287138211382118,14.267840650406502,middle
3066790.982421875,11.27163577235772,14.265810569105685,middle
3126927.0239257812,11.255726829268296,14.16309105691057,middle
3187062.0283203125,11.237322764227647,14.30541138211382,middle
3247194.0095214844,11.22196097560976,14.174282113821143,middle
3307327.977294922,11.206780487804876,14.1887674796748,middle
3367462.0317382812,11.190587804878056,14.180683739837393,middle
3427595.049560547,11.172430894308945,14.213289430894305,middle
3487729.0173339844,11.155711382113822,14.23575853658537,middle
3547862.03515625,11.140261788617883,14.243357723577228,middle
3607996.0029296875,11.122592682926827,14.19544146341463,middle
3668129.971435547,11.109269918699187,14.112485365853656,low
3728262.9885253906,11.088821951219513,14.342741463414637,middle
3788396.0063476562,11.07512520325203,14.112933333333336,low
3848531.0107421875,11.05683495934959,14.112679674796754,low
3908664.979248047,11.041232520325202,14.130282113821142,low
3968797.9963378906,11.02376910569106,14.108439024390233,low
4028933.0014648438,11.006149593495936,14.20521463414634,middle
4089066.0192871094,10.986614634146337,14.231005691056911,middle
4149199.036376953,10.970395934959349,14.16128617886179,middle
4209331.967529297,10.954544715447154,14.28265528455284,middle
4269464.9853515625,10.935134959349595,14.299908130081304,middle
4329598.003173828,10.919303252032522,14.233026016260165,middle
4389731.0205078125,10.904194308943083,14.280625203252024,middle
4449864.988769531,10.888955284552843,14.151495121951221,middle
4509998.006103516,10.874995934959355,14.217886178861788,middle
4570131.023925781,10.85894634146342,14.180373170731707,middle
4630264.041259766,10.845794308943088,14.280548780487806,middle
4690396.0224609375,10.834542276422765,14.21686666666666,middle
4750528.0029296875,10.82109918699187,14.263787804878044,middle
4810659.033691406,10.807696747967483,14.2103894308943,middle
4870793.001464844,10.797070731707315,14.152800000000006,middle
4930926.019287109,10.785425203252036,14.274634146341471,middle
4991059.036621094,10.776106504065048,14.266608943089425,middle
5051191.967529297,10.763688617886176,14.310981300813,middle
5111326.021972656,10.75393170731707,14.21841869918699,middle
5171459.990478516,10.744889430894304,14.13241056910569,low
5231591.970947266,10.735253658536584,14.21628048780488,middle
5291724.989013672,10.724967479674792,14.284349593495936,middle
5351858.006103516,10.71540894308943,14.187821951219517,middle
5411989.986816406,10.708693495934956,14.120436585365855,low
5472124.041259766,10.701307317073171,14.251721138211382,middle
5532259.046142578,10.690830894308947,14.265217073170735,middle
5592393.964355469,10.683688617886173,14.21347235772358,middle
5652526.031738281,10.676137398373982,14.182151219512193,middle
5712659.999511719,10.667052845528458,14.195874796747962,middle
5772795.004638672,10.660588617886178,14.26352032520325,middle
5832928.0224609375,10.65258861788618,14.222386991869927,middle
5893060.0029296875,10.644539837398373,14.189879674796746,middle
5953193.020751953,10.637486991869913,14.212165040650406,middle
6013326.0380859375,10.631099999999995,14.265720325203253,middle
6073458.969238281,10.622802439024392,14.180441463414637,middle
6133593.023681641,10.613630894308944,14.312257723577233,middle
